name,ring,quadrant,isNew,status,description
LightGBM,Adote,Treinamento do Modelo,TRUE,new,"LightGBM (Light Gradient Boosting Machine) é um framework de boosting de gradiente que utiliza algoritmos de aprendizado baseados em árvores, projetado para eficiência e escalabilidade em tarefas de aprendizado de máquina."
LIME,Evite,Avaliação do modelo,TRUE,new,"LIME (Local Interpretable Model-agnostic Explanations) é uma ferramenta projetada para explicar previsões individuais de qualquer modelo de machine learning, aproximando-o localmente com um modelo interpretável."
Matplotlib,Adote,Análise de Dados,TRUE,new,"O Matplotlib é uma biblioteca abrangente para a criação de visualizações estáticas, animadas e interativas em Python. Altamente personalizável, ele suporta uma ampla gama de gráficos e diagramas. O Matplotlib serve como a base para muitas outras bibliotecas de visualização, proporcionando um conjunto versátil de ferramentas para criar figuras de qualidade para publicação."
Natural Language Toolkit (NLTK),Adote,Preparação de Dados,TRUE,new,"NLTK é uma biblioteca Python para trabalhar com dados de linguagem humana (texto), oferecendo ferramentas para processamento de texto, análise linguística e construção de aplicações de processamento de linguagem natural (NLP)."
Neural Prophet,Avalie,Treinamento do Modelo,TRUE,new,"NeuralProphet é uma extensão do Prophet do Facebook projetada para incorporar modelos de redes neurais para melhorar a previsão de séries temporais, combinando decomposição tradicional com técnicas de aprendizado profundo."
Numpy,Adote,Análise de Dados,TRUE,new,"O NumPy é o pacote fundamental para computação científica em Python. É uma biblioteca Python que fornece um objeto de array multidimensional, vários objetos derivados (como arrays mascarados e matrizes) e uma variedade de rotinas para operações rápidas em arrays, incluindo operações matemáticas, lógicas, manipulação de formas, ordenação, seleção, I/O, transformadas de Fourier discretas, álgebra linear básica, operações estatísticas básicas, simulação aleatória e muito mais."
OpenCV,Adote,Preparação de Dados,TRUE,new,"OpenCV (Open Source Computer Vision Library) é uma biblioteca poderosa para visão computacional em tempo real e processamento de imagens, oferecendo uma ampla gama de funcionalidades para análise e manipulação de dados visuais."
Optuna,Adote,Avaliação do modelo,TRUE,new,"Optuna é uma framework open-source para otimização de hiperparâmetros, projetada para automatizar o processo de encontrar hiperparâmetros ótimos para modelos de machine learning."
Pandas,Adote,Análise de Dados,TRUE,new,"É uma ferramenta de análise e manipulação de dados de código aberto, rápida, poderosa, flexível e fácil de usar, construída sobre a linguagem de programação Python. Ela é projetada para manipulação e análise de dados, oferecendo estruturas de dados flexíveis e eficientes, tornando-se uma ferramenta poderosa para trabalhar com dados estruturados."
Pandas Profiling,Experimente,Análise de Dados,TRUE,new,"Pandas Profiling é uma biblioteca Python que gera automaticamente relatórios detalhados de análise exploratória de dados a partir de um DataFrame pandas, oferecendo insights sobre qualidade dos dados, distribuição e relações.
 
 Ponto de atenção: Considerando apenas a utilização para geração de insights iniciais, mas não deve substituir a Análise Exploratória de Dados."
Plotly,Adote,Análise de Dados,TRUE,new,"O Plotly é uma biblioteca de gráficos de código aberto que permite criar gráficos interativos e de qualidade para publicação online. Ele suporta uma ampla variedade de tipos de gráficos e é ideal para a criação de dashboards e visualizações de dados baseadas na web. O Plotly está disponível para Python, R, MATLAB e outras linguagens de programação, sendo a versão Python conhecida como Plotly.py."
Polars,Experimente,Análise de Dados,TRUE,new,"Polars é uma biblioteca de DataFrame rápida escrita em Rust e disponível em Python, otimizada para grandes conjuntos de dados e execução multi-threaded. Oferece uma alternativa de alto desempenho ao pandas com foco em uso eficiente de memória e paralelização, sendo bem adequada para processamento de big data e tarefas analíticas complexas."
Prophet,Avalie,Treinamento do Modelo,TRUE,new,"Prophet é uma ferramenta de previsão desenvolvida pelo Facebook para prever dados de séries temporais com fortes efeitos sazonais e feriados, projetada para facilidade de uso e robustez em relação a dados ausentes e outliers."
PyArrow,Adote,Análise de Dados,TRUE,new,"PyArrow é uma biblioteca Python para Apache Arrow, fornecendo ferramentas para processamento de dados columnar de alto desempenho e interoperabilidade entre sistemas de dados. É projetada para facilitar o armazenamento, transferência e manipulação eficiente de dados com foco em desempenho e escalabilidade."
PySpark,Adote,Preparação de Dados,TRUE,new,"PySpark é a API Python para Apache Spark, permitindo processamento de dados distribuído e escalável com alto desempenho e tolerância a falhas."
Pytorch,Adote,Treinamento do Modelo,TRUE,new,"PyTorch é uma biblioteca de aprendizado de máquina de código aberto desenvolvida pelo Facebook, projetada para flexibilidade e facilidade de uso na construção e treinamento de modelos de aprendizado profundo."
SciPy,Adote,Análise de Dados,TRUE,new,"O SciPy é uma biblioteca Python de código aberto utilizada para computação científica e técnica. Ele se baseia no NumPy e fornece uma coleção de algoritmos matemáticos e funções convenientes amplamente utilizadas em cálculos científicos, incluindo integração, otimização, interpolação, problemas de valores próprios, entre outros."
Seaborn,Adote,Análise de Dados,TRUE,new,O Seaborn é uma biblioteca de visualização de dados em Python baseada no Matplotlib. Ele fornece uma interface de alto nível para a criação de gráficos estatísticos atraentes e informativos. O Seaborn é particularmente adequado para trabalhar com DataFrames do Pandas e é conhecido por sua capacidade de produzir visualizações complexas com código mínimo.
SHAP,Experimente,Avaliação do modelo,TRUE,new,"SHAP (SHapley Additive exPlanations) é uma biblioteca open-source para interpretar modelos de machine learning, fornecendo pontuações de importância de características consistentes e interpretáveis baseadas na teoria dos jogos."
Sklearn,Adote,Treinamento do Modelo,TRUE,new,"Scikit-learn é uma biblioteca Python para aprendizado de máquina que fornece ferramentas simples e eficientes para análise de dados e modelagem, com foco em usabilidade e desempenho."
Sklearn inspection,Experimente,Avaliação do modelo,TRUE,new,"sklearn.inspection é um módulo no Scikit-learn que fornece ferramentas para inspeção de modelos, auxiliando na compreensão e interpretação de modelos de machine learning."
Sklearn Metrics,Adote,Avaliação do modelo,TRUE,new,O módulo de métricas do Scikit-learn fornece uma coleção de funções para avaliar o desempenho de modelos de machine learning usando várias métricas e métodos de pontuação.
Sklearn Model Selection,Adote,Avaliação do modelo,TRUE,new,"O módulo de seleção de modelos do Scikit-learn oferece ferramentas para selecionar e avaliar modelos de machine learning, incluindo ajuste de hiperparâmetros e validação cruzada."
Sklearn Preprocessing,Adote,Preparação de Dados,TRUE,new,"sklearn.preprocessing é um módulo no Scikit-learn que fornece ferramentas para pré-processamento de dados antes de aplicar algoritmos de aprendizado de máquina, incluindo recursos de dimensionamento, codificação e transformação."
Statsmodels (focado em análise),Adote,Análise de Dados,TRUE,new,"O Statsmodels é um módulo Python que fornece classes e funções para estimar e testar modelos estatísticos. Ele é projetado para uso em econometria, análise de séries temporais e outros campos que exigem análises estatísticas robustas. O Statsmodels complementa o Pandas, oferecendo capacidades de modelagem estatística que são integradas de forma estreita com as estruturas de dados."
Statsmodels (focado em regressão e séries temporáis),Adote,Treinamento do Modelo,TRUE,new,"O Statsmodels é um módulo Python que fornece classes e funções para estimar e testar modelos estatísticos. Ele é projetado para uso em econometria, análise de séries temporais e outros campos que exigem análises estatísticas robustas. O Statsmodels complementa o Pandas, oferecendo capacidades de modelagem estatística que são integradas de forma estreita com as estruturas de dados."
Tensorflow,Experimente,Treinamento do Modelo,TRUE,new,TensorFlow é uma biblioteca de aprendizado de máquina de código aberto desenvolvida pelo Google para construir e treinar modelos de aprendizado de máquina e aprendizado profundo em escala.
Tensorflow Agents,Evite,Treinamento do Modelo,TRUE,new,TensorFlow Agents é uma biblioteca de código aberto para aprendizado por reforço que fornece um conjunto de ferramentas e algoritmos para construir e treinar agentes de RL usando TensorFlow.
Tensorflow Keras Metrics,Adote,Avaliação do modelo,TRUE,new,tf.keras.metrics é um módulo no TensorFlow que fornece funções para avaliar o desempenho de modelos calculando várias métricas durante o treinamento e validação.
Tensorflow Recommenders,Experimente,Treinamento do Modelo,TRUE,new,"TensorFlow Recommenders é uma biblioteca de código aberto para construir e avaliar sistemas de recomendação, projetada para integrar-se perfeitamente com o TensorFlow para desenvolvimento de modelos flexíveis e escaláveis."
Tensorflow Transform,Avalie,Preparação de Dados,TRUE,new,"tf.Transform é uma biblioteca TensorFlow para pré-processamento e transformação de dados em larga escala, integrando-se perfeitamente com o ecossistema TensorFlow para lidar com transformações de dados de maneira distribuída."
TorchMetrics,Avalie,Avaliação do modelo,TRUE,new,"TorchMetrics é uma biblioteca projetada para o PyTorch que oferece implementações modulares, padronizadas e eficientes de métricas para avaliação de modelos de machine learning."
Transformers,Adote,Treinamento do Modelo,TRUE,new,"Transformers é uma biblioteca de código aberto desenvolvida pela Hugging Face para processamento de linguagem natural, fornecendo modelos pré-treinados e ferramentas para o ajuste fino de arquiteturas de transformadores de ponta."
Vertex AI TensorBoard,Experimente,Avaliação do modelo,TRUE,new,"Vertex AI TensorBoard é um serviço gerenciado pelo Google Cloud para visualizar e analisar experimentos de machine learning, integrado ao Vertex AI para desenvolvimento e monitoramento de modelos de forma simplificada."
XGBoost,Adote,Treinamento do Modelo,TRUE,new,"XGBoost (Extreme Gradient Boosting) é uma biblioteca de gradient boosting otimizada e distribuída projetada para aprendizado de máquina de alto desempenho e escalável, destacando-se em tarefas como classificação e regressão."
